pitcher,events,home_team,away_team,pitch_name,release_speed,launch_speed,launch_angle,hit_distance_sc,bb_type,release_pos_x,release_pos_y,zone,p_throws,balls,strikes,outs_when_up,inning
680885,field_out,ATL,LAD,Cutter,94.1,95.8,39.0,340.0,fly_ball,-2.46,53.64,6.0,R,2,1,0,1
696136,single,LAD,CHC,Sinker,91.6,111.6,1.0,57.0,ground_ball,2.31,54.13,5.0,L,0,0,2,3
696136,walk,LAD,CHC,Sinker,93.0,,,,,2.19,54.23,14.0,L,3,2,0,2
542888,field_out,LAD,CHC,Cutter,90.6,87.2,29.0,326.0,fly_ball,-1.2,54.17,14.0,R,0,1,2,7
624522,field_out,LAD,CHC,Cutter,89.8,94.9,40.0,326.0,fly_ball,-2.82,54.3,3.0,R,0,0,2,5
696136,home_run,LAD,CHC,Slider,85.9,118.1,19.0,405.0,line_drive,2.26,54.07,5.0,L,1,2,0,1
684007,field_out,LAD,CHC,Sweeper,82.6,99.6,33.0,373.0,fly_ball,2.9,54.22,1.0,L,0,1,2,5
684007,grounded_into_double_play,LAD,CHC,Sweeper,82.1,110.0,0.0,45.0,ground_ball,3.03,54.45,5.0,L,2,1,0,3
663878,field_out,LAD,CHC,Slider,89.8,95.3,32.0,365.0,fly_ball,-1.17,53.87,6.0,R,0,0,1,8
684007,field_out,LAD,CHC,4-Seam Fastball,92.7,95.7,59.0,198.0,popup,2.26,54.33,1.0,L,0,0,0,1
543294,single,LAD,CHC,Curveball,74.4,99.8,20.0,288.0,line_drive,-2.57,55.12,3.0,R,2,1,1,5
543294,walk,LAD,CHC,Sinker,87.8,,,,,-2.71,55.1,11.0,R,3,0,2,3
668338,strikeout,LAD,CHC,Curveball,77.7,,,,,-3.74,53.54,14.0,R,1,2,1,8
543294,field_out,LAD,CHC,Changeup,81.5,64.5,63.0,129.0,popup,-2.67,55.08,11.0,R,1,2,0,1
592767,single,LAD,CHC,Sinker,92.5,96.5,17.0,283.0,line_drive,1.34,54.7,6.0,L,0,0,0,7
676440,home_run,LAD,CLE,Changeup,83.6,116.7,34.0,450.0,fly_ball,-1.98,53.98,2.0,R,1,0,1,5
676440,single,LAD,CLE,Cutter,90.6,72.3,28.0,240.0,fly_ball,-2.2,54.07,3.0,R,3,2,2,3
676440,field_out,LAD,CLE,Cutter,88.0,96.8,46.0,301.0,fly_ball,-2.22,54.04,6.0,R,3,2,0,1
671922,strikeout,LAD,CLE,4-Seam Fastball,97.4,,,,,-3.31,53.63,1.0,R,1,2,1,7
681870,field_out,LAD,CLE,Slider,88.0,101.2,42.0,348.0,fly_ball,1.44,53.62,1.0,L,1,0,2,6
605130,strikeout,LAD,CLE,Slider,81.3,,,,,-2.19,53.78,14.0,R,3,2,1,4
658648,field_out,LAD,CLE,4-Seam Fastball,91.0,99.5,3.0,68.0,ground_ball,-0.88,54.27,4.0,R,3,2,2,1
668909,field_out,LAD,CLE,4-Seam Fastball,99.3,91.1,-38.0,4.0,ground_ball,-2.86,53.42,11.0,R,2,2,0,1
571510,home_run,LAD,CLE,Sinker,88.8,111.2,38.0,413.0,fly_ball,2.33,54.27,5.0,L,1,0,1,6
571510,strikeout,LAD,CLE,Slider,79.4,,,,,2.67,54.48,13.0,L,2,2,1,3
