pitcher,events,home_team,away_team,pitch_name,release_speed,launch_speed,launch_angle,hit_distance_sc,bb_type
663362,walk,SD,LAD,Sinker,91.2,,,,
673513,strikeout,SD,LAD,Slider,87.0,,,,
681293,field_out,HOU,LAD,Curveball,79.1,95.2,49.0,281.0,fly_ball
681293,strikeout,HOU,LAD,4-Seam Fastball,95.7,,,,
681293,field_out,HOU,LAD,Cutter,88.7,104.6,41.0,357.0,fly_ball
606160,walk,HOU,LAD,4-Seam Fastball,96.0,,,,
687911,strikeout,HOU,LAD,4-Seam Fastball,93.8,,,,
669854,walk,HOU,LAD,Changeup,86.7,,,,
669854,home_run,HOU,LAD,4-Seam Fastball,92.0,118.7,29.0,461.0,fly_ball
605463,walk,HOU,LAD,4-Seam Fastball,94.1,,,,
681869,single,HOU,LAD,Curveball,82.2,91.0,0.0,44.0,ground_ball
669854,field_out,HOU,LAD,Slider,88.4,97.9,33.0,366.0,fly_ball
664285,walk,HOU,LAD,Curveball,81.3,,,,
664285,field_out,HOU,LAD,Slider,87.8,99.8,20.0,335.0,line_drive
519151,single,HOU,LAD,4-Seam Fastball,95.5,113.5,-3.0,24.0,ground_ball
664285,double,HOU,LAD,Sinker,95.4,97.7,18.0,282.0,line_drive
657277,double,LAD,SF,Sinker,93.2,94.9,9.0,159.0,line_drive
657277,field_out,LAD,SF,Sinker,93.3,107.5,-13.0,10.0,ground_ball
643511,home_run,LAD,SF,Slider,74.7,112.6,46.0,360.0,fly_ball
663546,field_out,LAD,SF,Cutter,92.2,91.5,39.0,322.0,fly_ball
657277,walk,LAD,SF,4-Seam Fastball,90.9,,,,
592662,strikeout,LAD,SF,4-Seam Fastball,95.5,,,,
592662,strikeout,LAD,SF,4-Seam Fastball,93.1,,,,
669062,strikeout,LAD,SF,Changeup,85.0,,,,
592662,field_out,LAD,SF,4-Seam Fastball,94.4,102.0,36.0,351.0,fly_ball
663855,double,LAD,SF,Sweeper,82.7,105.1,23.0,329.0,fly_ball
663855,strikeout,LAD,SF,4-Seam Fastball,93.5,,,,
678495,single,LAD,SF,4-Seam Fastball,99.2,114.2,10.0,250.0,line_drive
573124,strikeout,LAD,SF,Sweeper,79.3,,,,
663855,strikeout,LAD,SF,Split-Finger,86.0,,,,
605483,field_out,LAD,SF,Curveball,82.1,89.0,-28.0,4.0,ground_ball
605483,strikeout,LAD,SF,Curveball,83.1,,,,
605483,walk,LAD,SF,Slider,91.5,,,,
669062,strikeout,LAD,SF,Changeup,85.4,,,,
